ir_L,ir_R,degree
17.1,12.3,49.1
16.4,12.4,46.56
15.3,12.6,46.02
14.2,12.9,42.59
13.7,13.1,39.55
13.4,13.2,36.78
13.3,13.2,36.71
13.1,13.1,32.36
13.4,13.1,32.27
13.4,13.2,32.26
13.2,13.1,32.33
12.5,13.0,32.26
10.8,12.7,32.27
8.0,12.5,32.95
5.4,11.9,39.55
2.2,11.3,43.78
0.6,11.3,43.9
0.1,11.4,43.79
0.0,11.3,43.81
0.0,11.1,40.49
0.0,11.5,38.67
0.0,10.9,23.22
0.0,10.2,12.11
0.0,9.6,5.6
0.0,7.7,1.09
0.0,5.5,0.05
0.0,4.0,0.04
0.0,2.0,0.04
0.2,0.0,0.05
0.4,0.0,0.03
0.6,0.0,0.03
0.9,0.0,0.09
1.3,0.0,0.03
1.8,0.0,0.05
2.3,0.0,0.05
3.0,0.0,0.05
3.3,0.0,0.04
4.2,0.0,2.98
4.8,0.0,6.13
5.6,0.1,12.66
6.8,0.7,15.15
7.3,1.6,25.41
8.3,2.1,35.5
8.6,2.4,40.82
8.5,2.6,41.16
8.1,2.7,45.29
8.0,2.9,33.97
7.6,3.0,22.66
7.8,3.2,14.65
8.0,3.7,12.88
9.1,3.7,12.9
10.7,3.8,12.87
11.5,3.1,13.27
13.1,3.1,37.66
14.8,3.9,41.65
16.0,4.2,42.34
15.9,3.9,43.08
15.8,3.5,44.68
15.3,3.5,44.71
14.6,2.6,44.72
13.9,2.0,44.29
13.4,1.7,33.61
12.6,0.6,33.4
12.8,0.0,33.42
13.3,0.0,35.23
13.5,0.0,47.23
13.0,0.0,47.32
10.4,0.0,47.28
7.9,0.0,47.3
4.3,0.0,47.35
1.8,0.0,47.31
0.9,0.4,45.41
0.1,0.7,31.62
0.0,0.9,27.22
0.0,0.5,27.32
0.0,0.0,27.32
0.0,0.0,25.93
0.0,0.0,16.97
0.0,1.9,14.62
0.0,3.6,1.05
0.0,3.7,0.13
0.0,3.0,0.05
0.0,2.2,0.08
0.0,1.0,0.03
0.0,0.0,0.03
0.2,0.0,0.2
0.4,0.0,0.04
0.6,0.0,0.14
0.9,0.0,0.02
1.3,0.0,0.05
1.7,0.0,0.19
2.1,0.0,0.04
2.3,0.0,0.11
2.7,0.0,0.33
3.0,0.0,0.03
3.8,0.0,0.04
4.8,1.2,0.04
5.3,3.1,0.19
6.4,4.1,0.06
7.9,5.5,2.39
8.9,6.7,13.53
10.3,7.1,26.8
11.6,8.4,34.64
12.2,9.0,36.52
12.4,9.4,36.43
12.2,9.5,38.49
12.0,9.9,44.81
11.6,10.3,45.78
11.5,10.7,45.65
10.9,11.1,35.07
10.7,11.6,19.37
10.5,12.0,18.71
11.9,12.1,19.0
12.4,12.4,18.87
13.8,11.9,39.22
14.8,12.0,45.43
14.9,12.3,45.67
14.3,12.4,45.71
13.9,12.1,45.72
13.7,11.6,45.67
13.3,10.6,45.51
13.1,9.1,40.84
12.9,8.0,35.85
12.5,6.7,35.82
12.4,7.3,29.44
12.0,8.4,27.07
12.4,10.0,27.15
12.7,10.5,27.06
13.2,10.2,27.09
13.7,11.0,27.06
14.2,10.8,29.49
14.4,9.7,33.64
14.7,9.0,36.0
14.9,8.7,36.3
14.7,8.3,44.22
15.0,8.2,44.42
14.6,8.4,47.61
14.5,8.4,49.3
14.6,8.3,49.39
14.1,8.6,49.34
14.0,8.5,49.41
13.4,8.5,49.37
12.9,8.7,49.41
12.7,8.8,49.34
12.1,8.7,49.4
11.6,8.7,49.33
10.3,9.0,49.24
