ir1,ir2,degree,time
15.7,2.8,3,10:49:46.354269
16.0,2.8,3,10:49:46.379355
16.0,3.1,3,10:49:46.403498
16.0,3.1,3,10:49:46.427674
16.3,3.1,3,10:49:46.452928
16.3,3.0,3,10:49:46.477505
15.6,3.0,3,10:49:46.501597
15.6,2.8,3,10:49:46.526158
15.6,2.8,3,10:49:46.550698
15.3,2.8,3,10:49:46.574826
15.3,3.1,3,10:49:46.599547
15.3,3.1,3,10:49:46.624140
15.4,3.0,3,10:49:46.649241
15.4,3.0,3,10:49:46.673707
15.4,3.0,3,10:49:46.698375
15.1,2.9,3,10:49:46.723305
15.1,2.9,3,10:49:46.748102
14.8,2.9,2,10:49:46.772622
14.8,3.0,2,10:49:46.796861
14.8,3.0,2,10:49:46.821232
14.9,2.9,2,10:49:46.852732
14.9,2.9,2,10:49:46.882929
14.3,2.9,2,10:49:46.913016
14.3,2.9,2,10:49:46.941947
13.6,2.9,2,10:49:46.969707
13.6,3.0,3,10:49:46.998384
13.6,3.0,3,10:49:47.025653
13.0,3.0,3,10:49:47.053927
13.0,3.0,3,10:49:47.080526
12.2,3.0,3,10:49:47.107756
12.2,2.9,3,10:49:47.135010
11.6,2.9,3,10:49:47.163034
11.6,3.0,3,10:49:47.190078
11.6,3.0,3,10:49:47.217255
11.3,2.9,3,10:49:47.247998
11.3,2.9,3,10:49:47.277004
11.1,2.9,4,10:49:47.307073
11.1,2.9,4,10:49:47.336498
10.8,2.9,4,10:49:47.364820
10.8,3.0,4,10:49:47.392508
10.8,3.0,4,10:49:47.419701
10.9,3.0,4,10:49:47.450869
10.9,3.0,4,10:49:47.480606
11.0,2.9,4,10:49:47.511660
11.0,2.9,4,10:49:47.541665
11.1,3.2,4,10:49:47.569410
11.1,3.2,4,10:49:47.596938
11.4,3.2,4,10:49:47.625115
11.4,3.3,4,10:49:47.655439
11.4,3.3,4,10:49:47.685707
11.7,3.2,4,10:49:47.719013
11.7,3.2,4,10:49:47.747698
11.7,3.3,4,10:49:47.774821
11.7,3.3,4,10:49:47.801878
12.0,3.6,4,10:49:47.830806
12.0,3.6,4,10:49:47.861090
12.0,3.6,4,10:49:47.891165
12.3,3.5,3,10:49:47.922477
12.3,3.5,3,10:49:47.949584
12.3,3.7,3,10:49:47.977633
12.3,3.7,3,10:49:48.004170
12.4,3.7,3,10:49:48.031750
12.4,4.0,3,10:49:48.059439
12.4,4.0,3,10:49:48.087143
12.4,3.8,3,10:49:48.114474
12.4,3.8,3,10:49:48.142253
12.5,3.9,3,10:49:48.174163
12.5,3.9,3,10:49:48.204615
12.6,3.9,3,10:49:48.235478
12.6,4.0,3,10:49:48.262902
12.7,4.0,3,10:49:48.291035
12.7,3.9,3,10:49:48.318865
12.7,3.9,3,10:49:48.346050
12.7,4.0,3,10:49:48.374086
12.7,4.0,3,10:49:48.401048
12.6,4.0,3,10:49:48.428427
12.6,4.1,3,10:49:48.455896
12.8,4.1,3,10:49:48.484132
12.8,4.0,3,10:49:48.511880
12.8,4.0,3,10:49:48.538846
12.7,4.1,3,10:49:48.567595
12.7,4.1,3,10:49:48.594331
12.6,4.3,3,10:49:48.624376
12.6,4.3,3,10:49:48.651500
12.6,4.3,3,10:49:48.678613
12.7,4.1,3,10:49:48.706950
12.7,4.1,3,10:49:48.733790
12.6,4.1,3,10:49:48.761954
12.6,4.1,3,10:49:48.789032
12.5,4.1,3,10:49:48.816881
12.5,4.3,3,10:49:48.844537
12.5,4.3,3,10:49:48.871846
12.6,4.2,3,10:49:48.899433
12.6,4.2,3,10:49:48.926205
12.6,4.2,3,10:49:48.958064
12.6,4.2,3,10:49:48.989987
12.5,4.2,3,10:49:49.021475
12.5,4.5,3,10:49:49.052886
12.6,4.5,3,10:49:49.080756
12.6,4.4,3,10:49:49.109672
12.6,4.4,3,10:49:49.137028
12.5,4.3,3,10:49:49.165254
12.5,4.3,3,10:49:49.192631
12.5,4.3,3,10:49:49.219890
12.5,4.6,3,10:49:49.247688
12.6,4.6,3,10:49:49.274865
12.6,4.5,3,10:49:49.302706
12.6,4.5,3,10:49:49.330025
12.5,4.4,3,10:49:49.361642
12.5,4.4,3,10:49:49.391534
12.5,4.4,3,10:49:49.422444
12.5,4.5,3,10:49:49.451903
12.6,4.5,4,10:49:49.479684
12.6,4.6,4,10:49:49.506816
12.6,4.6,4,10:49:49.534580
12.5,4.5,4,10:49:49.565350
12.5,4.5,4,10:49:49.595315
12.3,4.7,4,10:49:49.626699
12.3,4.7,4,10:49:49.655580
12.3,5.0,4,10:49:49.682872
12.3,5.0,4,10:49:49.710497
12.3,5.0,4,10:49:49.737861
12.2,4.9,4,10:49:49.766687
12.2,4.9,4,10:49:49.794293
11.8,4.9,3,10:49:49.821640
11.8,4.9,3,10:49:49.849199
11.7,4.9,3,10:49:49.876392
11.7,5.1,3,10:49:49.904236
11.7,5.1,3,10:49:49.931801
11.7,5.1,3,10:49:49.962485
11.7,5.1,3,10:49:49.992554
11.7,5.1,3,10:49:50.024444
11.7,5.1,3,10:49:50.053583
