ir_L,ir_R,degree
2.8,20.9,36.43
2.8,20.0,35.3
2.8,19.9,31.18
2.8,19.3,28.51
2.8,18.5,25.66
2.9,16.8,14.21
2.9,15.3,6.98
2.7,9.7,0.1
2.6,7.2,0.03
2.8,5.0,0.13
3.1,5.3,0.03
3.3,5.2,0.04
3.9,4.3,0.62
4.2,4.5,4.66
4.8,5.6,7.51
5.2,6.9,12.93
5.7,9.0,22.56
5.7,10.4,26.27
6.2,11.8,27.89
6.6,12.9,33.98
7.2,14.1,37.14
7.4,14.8,39.03
8.1,15.6,38.98
8.6,16.3,39.1
9.1,17.1,38.14
9.8,17.6,30.64
10.0,18.5,26.17
10.9,19.3,25.48
11.8,20.1,25.42
13.3,20.5,22.82
14.1,20.8,22.54
15.1,19.9,22.4
16.2,15.7,22.46
18.5,16.9,22.41
19.9,20.0,24.91
22.3,19.5,34.64
23.6,18.7,48.96
24.1,18.1,50.15
24.8,17.4,50.79
25.0,16.9,52.52
24.5,16.3,55.9
24.7,15.4,59.65
26.0,14.9,60.34
25.7,14.2,61.31
24.6,13.8,61.11
23.4,13.4,59.88
23.9,13.3,59.43
23.8,13.7,59.37
23.5,14.1,54.67
20.7,15.1,50.47
16.6,15.8,49.09
13.7,16.1,49.05
9.3,15.9,49.08
6.9,15.5,43.48
4.4,15.3,41.68
3.7,15.2,41.6
3.0,15.6,41.66
3.0,16.1,41.62
2.9,16.2,41.68
2.6,16.6,41.63
2.6,16.7,41.67
2.6,17.0,41.64
2.6,16.9,39.53
2.5,17.0,39.36
2.5,16.7,39.38
2.5,16.6,39.4
2.5,16.2,39.49
2.7,16.0,39.41
2.6,15.6,39.36
2.4,15.7,37.61
2.5,15.1,36.21
2.5,14.5,36.02
2.4,13.8,35.95
2.3,13.5,35.13
2.4,13.0,34.56
2.4,12.7,31.56
2.5,11.8,26.1
2.4,11.0,26.1
2.4,9.6,26.11
2.4,9.0,26.1
2.6,7.9,23.55
2.8,7.2,12.36
2.7,6.3,0.67
3.0,5.4,0.03
3.4,6.0,0.08
3.9,8.6,0.08
4.3,13.0,0.1
4.9,19.4,0.02
5.3,22.4,0.12
6.2,25.4,0.04
6.9,26.2,0.48
8.3,25.6,5.79
9.8,26.0,18.18
12.7,24.3,18.12
16.2,22.5,26.97
16.9,20.0,38.92
14.1,18.8,40.72
13.1,18.1,48.82
13.8,17.7,50.36
15.5,17.4,56.62
21.0,17.0,63.79
26.3,17.0,66.0
25.6,17.0,66.05
18.3,17.2,66.09
15.5,17.2,66.03
19.4,17.7,66.01
27.1,17.8,66.01
26.4,17.7,66.03
27.6,17.2,66.03
33.6,16.2,66.04
38.5,14.4,62.71
38.3,12.5,57.41
37.4,9.4,57.48
37.3,8.0,57.52
37.3,8.1,57.49
38.5,9.4,57.5
38.8,12.2,57.52
38.9,13.9,57.49
39.2,15.9,58.07
39.0,16.6,58.04
38.1,17.3,59.66
37.6,17.7,59.7
38.2,17.9,59.62
38.3,18.0,59.63
38.5,18.2,59.61
38.1,18.3,59.61
37.6,17.7,59.63
37.1,17.2,59.61
36.8,16.3,59.48
35.2,15.9,59.48
34.1,15.5,59.47
32.0,15.0,59.47
30.9,15.0,59.39
30.1,15.3,59.26
29.8,16.0,58.66
30.2,17.1,57.74
29.3,17.7,57.76
29.4,18.5,57.75
28.3,19.3,57.74
28.2,20.1,57.73
28.8,20.6,57.78
28.4,21.2,57.74
28.0,20.5,57.75
26.0,20.2,57.74
20.3,19.6,57.76
15.6,18.6,57.83
9.4,17.9,57.73
6.7,17.1,57.74
4.5,18.0,57.73
3.8,18.8,57.76
3.3,18.5,57.63
3.3,17.8,57.67
3.1,17.6,57.65
3.0,17.6,57.66
3.0,18.8,57.63
2.9,17.6,56.15
2.9,17.3,54.95
3.0,18.5,51.0
3.0,18.5,49.2
2.9,18.2,49.15
2.8,16.3,49.17
2.8,15.5,45.97
2.7,15.2,45.36
2.7,15.2,45.2
2.7,15.1,40.0
2.7,15.1,38.48
2.8,14.7,38.48
2.8,14.4,38.47
2.7,13.7,38.53
2.7,13.3,38.51
2.7,12.7,38.55
2.7,12.2,38.54
2.6,11.7,38.46
2.6,11.3,38.47
2.6,10.6,34.77
2.6,9.9,33.14
2.7,8.6,32.44
2.7,6.8,31.41
2.6,6.0,28.7
2.5,5.1,26.2
2.6,4.6,26.31
2.6,4.3,26.26
2.5,4.6,25.12
2.5,5.2,23.16
2.4,5.2,23.04
2.5,4.6,17.07
2.6,4.4,11.32
2.6,5.6,5.99
3.0,7.3,0.44
3.6,9.3,0.14
4.5,10.5,0.03
5.1,13.4,0.03
5.7,14.7,0.07
6.1,12.5,0.15
7.5,8.3,0.07
8.5,7.2,0.05
10.0,6.7,0.03
11.6,10.1,4.78
16.9,19.3,31.05
20.1,16.4,40.59
21.7,14.0,46.76
22.3,14.3,46.93
19.6,15.2,46.91
16.2,16.0,46.87
16.5,17.1,46.89
17.3,17.4,46.88
17.4,18.0,46.89
17.9,18.1,46.94
18.1,18.0,46.89
18.6,17.8,46.88
18.7,17.6,46.86
18.5,17.4,46.88
18.6,17.3,46.86
18.7,17.3,46.92
18.8,17.4,46.86
18.8,17.4,46.9
18.6,17.5,46.88
18.7,17.5,46.84
18.5,17.4,46.93
18.6,17.2,46.86
18.6,17.2,46.85
20.0,17.2,46.86
20.4,17.3,46.88
28.6,17.2,46.83
17.2,17.2,46.89
12.6,17.2,46.84
10.2,17.3,46.88
7.4,17.4,46.92
5.8,17.3,46.92
4.6,17.3,46.85
3.4,17.5,46.78
3.0,17.6,46.9
2.7,17.8,46.64
2.8,18.3,46.75
2.7,19.8,44.81
2.4,20.6,42.08
2.3,21.1,39.29
2.5,21.2,38.68
2.4,20.4,37.52
2.5,20.1,34.99
2.4,20.1,34.87
2.4,19.3,25.55
2.4,18.8,16.35
2.7,17.8,0.5
2.7,13.9,0.07
2.3,11.3,0.02
2.6,8.8,0.04
3.0,7.5,0.02
3.3,6.5,0.09
3.4,5.5,0.03
3.9,4.7,0.06
4.5,5.6,0.05
5.2,8.4,0.04
6.1,12.2,0.05
6.7,16.4,0.03
8.4,18.3,0.14
9.5,19.7,0.04
11.8,20.6,14.58
13.7,21.0,16.37
17.8,20.9,19.84
21.4,20.7,27.96
28.1,19.8,31.86
31.6,19.6,34.29
27.4,18.8,34.3
22.8,18.6,34.34
19.3,18.1,34.37
19.4,17.1,34.18
22.5,16.6,20.29
23.9,16.0,55.29
28.8,15.0,61.42
41.9,14.9,72.48
29.2,15.3,76.29
22.0,15.5,76.23
25.5,16.4,76.1
37.3,16.8,64.7
31.3,17.5,54.47
