ir_L,ir_R,degree
2.6,20.1,30.13
2.7,19.4,19.21
2.8,18.5,18.36
2.6,16.7,18.43
2.7,14.0,18.39
2.8,9.1,18.39
2.8,7.1,18.39
2.8,5.9,18.37
2.8,4.8,18.51
2.7,5.4,18.41
2.9,6.0,18.5
3.0,5.4,18.35
3.3,4.5,18.46
3.3,4.6,18.44
3.9,5.5,18.47
4.2,7.2,18.42
4.7,8.4,18.4
5.1,10.5,18.51
5.6,11.8,18.36
5.6,13.4,18.5
6.3,16.0,18.38
6.7,17.7,18.39
7.3,20.2,18.34
7.5,21.5,18.37
8.4,23.5,18.44
8.9,23.8,18.37
9.6,25.0,18.4
11.1,25.0,18.34
12.4,25.0,18.57
14.2,23.3,28.27
13.7,16.4,39.4
14.9,17.5,39.4
15.5,21.4,39.4
16.3,23.7,39.4
16.6,25.4,30.87
17.0,26.1,25.87
17.8,25.3,25.94
18.8,24.1,25.81
19.0,22.9,25.83
20.2,21.5,28.7
21.0,19.3,29.67
22.4,15.5,29.59
23.1,13.7,30.3
24.3,13.4,42.09
24.6,14.1,59.24
24.6,14.5,63.06
25.4,14.3,67.51
25.9,14.8,67.45
22.5,14.9,67.38
17.4,15.3,63.43
13.0,15.4,40.96
10.0,15.6,39.97
7.5,15.5,39.96
5.0,15.9,40.0
3.9,16.1,40.0
3.5,16.2,40.02
3.1,16.1,39.99
2.8,16.0,37.77
2.6,15.7,35.38
2.6,15.1,28.75
2.5,14.8,28.3
2.7,13.7,28.41
2.7,12.9,28.31
2.5,11.7,27.56
2.5,11.1,24.84
2.7,10.2,21.65
2.8,8.7,21.67
3.0,7.8,21.68
3.2,6.7,21.67
3.3,6.2,21.69
3.6,5.7,21.63
3.8,5.2,21.76
4.0,4.6,21.69
4.3,4.2,21.69
4.6,3.9,21.63
5.0,4.6,21.64
5.4,5.6,21.64
5.7,6.7,21.64
5.8,9.2,21.64
6.0,10.5,21.81
6.2,12.3,23.26
6.6,13.0,31.06
6.8,14.3,32.11
7.6,14.9,32.09
8.4,15.8,34.37
9.8,16.3,35.48
11.0,16.7,35.52
12.5,17.5,35.44
12.6,18.1,35.49
11.9,18.9,35.43
10.4,19.1,35.46
9.3,19.8,35.43
9.6,20.1,35.46
10.4,20.3,35.46
12.8,20.3,35.49
14.9,20.1,35.51
18.5,20.0,40.05
20.8,19.6,44.33
21.9,19.7,44.52
21.9,19.7,44.5
23.6,19.6,44.51
26.3,19.4,44.48
30.6,19.5,44.48
33.2,19.7,44.53
34.9,19.8,44.51
34.7,19.2,44.59
34.1,18.0,44.45
34.5,14.9,44.36
34.2,12.4,44.35
34.8,10.0,44.35
34.8,8.6,44.38
35.1,9.3,44.37
34.9,11.6,44.33
34.4,13.8,44.34
35.4,16.2,44.32
34.9,17.3,44.32
35.4,17.9,44.35
35.1,18.2,44.34
35.5,18.5,44.36
35.3,18.7,44.48
36.0,18.8,44.47
36.6,18.2,44.57
36.3,17.4,44.47
36.4,16.4,44.56
37.2,15.4,44.59
36.6,14.9,44.44
35.8,14.6,44.46
34.1,14.6,44.5
32.6,15.1,44.48
31.9,15.7,44.49
31.4,16.2,44.46
31.1,17.2,44.5
30.7,17.6,44.53
30.3,18.5,44.46
29.7,19.2,44.58
29.6,19.8,44.49
30.1,19.4,44.56
30.0,19.1,44.55
30.8,18.5,44.55
29.8,17.3,44.55
25.9,16.7,44.52
20.7,15.8,44.57
12.6,15.3,44.45
8.4,16.0,44.45
5.1,17.4,44.48
4.2,16.8,44.49
3.6,15.8,44.43
3.4,15.7,44.34
3.2,16.7,44.1
3.2,16.7,44.1
3.1,15.6,44.04
3.1,15.6,44.07
3.1,16.1,43.64
3.0,15.8,30.99
2.9,16.1,23.47
2.9,14.3,16.45
2.9,12.1,13.49
2.9,10.8,12.8
3.0,8.7,12.83
3.4,7.3,15.5
3.9,4.9,29.65
4.6,3.9,33.31
4.8,3.4,33.42
5.0,3.3,33.43
5.1,3.4,33.46
5.3,3.4,33.41
5.3,3.6,33.28
5.5,3.6,33.21
5.6,3.5,33.19
5.9,3.6,33.2
6.2,3.6,32.35
6.5,3.5,32.34
6.4,3.7,32.21
6.6,4.0,32.26
6.9,4.2,29.44
7.3,4.6,28.06
7.3,4.8,27.94
7.8,5.1,28.01
8.0,5.5,28.05
8.5,6.1,28.04
9.1,6.3,28.0
9.6,6.6,28.05
10.3,6.4,27.98
10.9,5.6,28.06
11.2,5.3,27.98
11.8,5.1,28.02
12.2,4.8,28.43
12.8,4.8,31.68
13.8,6.3,42.88
14.5,9.1,46.63
14.3,9.9,46.62
14.0,11.0,46.59
13.6,11.6,46.64
13.4,12.2,46.38
13.2,12.6,38.06
12.9,12.9,34.61
12.9,12.9,34.52
12.9,12.8,34.61
13.2,13.8,38.35
13.1,14.4,41.17
12.8,15.2,41.17
12.0,15.1,41.15
11.4,15.5,41.16
10.0,15.5,41.19
9.6,15.8,41.16
7.2,16.0,41.16
5.5,16.3,41.15
4.9,16.6,41.14
3.4,16.9,40.91
2.8,17.0,39.98
2.6,17.2,33.4
2.4,17.4,29.0
2.4,17.4,25.42
2.3,17.2,25.35
2.7,16.9,25.4
2.6,16.9,25.38
2.2,18.1,25.41
2.2,18.7,25.39
2.5,18.4,24.24
2.6,17.5,9.81
2.4,15.8,0.05
2.5,12.8,0.1
2.7,10.8,0.13
3.1,8.2,0.15
3.8,6.9,0.13
4.0,5.6,0.18
4.8,5.0,0.03
5.7,4.1,0.03
6.0,3.8,0.11
6.1,4.7,6.96
7.2,5.2,14.33
8.2,7.6,25.04
9.6,9.5,26.23
10.3,11.2,26.21
11.6,11.8,26.21
12.6,13.0,26.24
15.3,13.5,26.26
16.4,14.4,26.21
15.2,14.7,26.21
13.0,15.2,26.21
11.2,16.0,26.21
11.0,16.4,26.18
13.2,16.4,26.23
14.2,16.4,26.23
20.2,16.3,26.18
25.7,16.4,26.22
35.1,16.3,26.23
40.8,15.9,55.49
39.6,15.5,67.65
20.3,15.4,75.7
18.6,15.8,75.75
26.4,16.2,75.71
33.8,16.9,72.75
24.0,17.2,60.11
29.4,17.8,55.98
35.9,18.0,55.93
