ir1,ir2,degree,time
0,0,1,10:03:55.289691
0,0,1,10:03:55.353013
34.2,3.1,3,10:03:55.384947
34.2,3.1,3,10:03:55.415200
33.5,3.1,3,10:03:55.444414
33.5,3.1,3,10:03:55.472231
34.8,3.4,3,10:03:55.500748
34.8,3.4,3,10:03:55.528026
34.8,3.4,3,10:03:55.557431
35.3,3.3,3,10:03:55.584904
35.3,3.3,3,10:03:55.612749
34.4,3.3,3,10:03:55.642231
34.4,3.3,3,10:03:55.672399
35.0,3.5,3,10:03:55.703051
35.0,3.5,3,10:03:55.733272
35.7,3.4,3,10:03:55.760856
35.7,3.4,3,10:03:55.788213
35.7,3.4,3,10:03:55.814830
34.7,3.3,3,10:03:55.845684
34.7,3.3,3,10:03:55.875923
35.3,3.5,3,10:03:55.906570
35.3,3.5,3,10:03:55.935904
35.6,3.4,3,10:03:55.963111
35.6,3.4,3,10:03:55.989990
35.6,3.4,3,10:03:56.017181
34.9,3.4,3,10:03:56.046057
34.9,3.4,3,10:03:56.076166
35.3,3.6,3,10:03:56.108039
35.3,3.6,3,10:03:56.137273
35.9,3.5,3,10:03:56.164347
35.9,3.5,3,10:03:56.191360
34.7,3.5,3,10:03:56.219233
34.7,3.5,3,10:03:56.248810
34.7,3.5,3,10:03:56.278966
34.6,3.7,3,10:03:56.310275
34.6,3.7,3,10:03:56.342046
35.0,3.5,3,10:03:56.370840
35.0,3.5,3,10:03:56.397991
33.7,3.4,3,10:03:56.425651
33.7,3.4,3,10:03:56.454986
32.7,3.7,3,10:03:56.488352
32.7,3.7,3,10:03:56.518501
31.7,3.7,3,10:03:56.547559
31.7,3.5,3,10:03:56.575094
31.7,3.5,3,10:03:56.602696
30.0,3.5,3,10:03:56.630112
30.0,3.5,3,10:03:56.658017
28.2,3.8,3,10:03:56.686336
28.2,3.8,3,10:03:56.713750
28.2,3.8,3,10:03:56.741228
27.2,3.7,3,10:03:56.770052
27.2,3.7,3,10:03:56.797619
25.7,3.6,3,10:03:56.824991
25.7,3.6,3,10:03:56.855251
25.6,3.8,3,10:03:56.885849
25.6,3.8,3,10:03:56.915060
26.1,3.7,3,10:03:56.945492
26.1,3.7,3,10:03:56.973005
26.1,3.7,3,10:03:57.000197
27.3,3.7,3,10:03:57.029076
27.3,3.7,3,10:03:57.059138
28.9,3.8,3,10:03:57.090205
28.9,3.8,3,10:03:57.120743
30.7,3.8,3,10:03:57.149476
30.7,3.8,3,10:03:57.176622
30.7,3.8,3,10:03:57.204364
32.2,3.7,3,10:03:57.232452
32.2,3.7,3,10:03:57.260018
32.7,3.9,3,10:03:57.287638
32.7,3.9,3,10:03:57.314882
34.3,3.9,3,10:03:57.342901
34.3,3.9,3,10:03:57.369975
34.3,3.9,3,10:03:57.397608
35.0,3.8,3,10:03:57.426148
35.0,3.8,3,10:03:57.457026
34.4,4.0,3,10:03:57.487879
34.4,4.0,3,10:03:57.517681
35.8,4.0,3,10:03:57.547849
35.8,4.0,3,10:03:57.575411
35.8,4.0,3,10:03:57.602801
35.8,3.9,3,10:03:57.630811
35.8,3.9,3,10:03:57.661902
35.0,4.1,3,10:03:57.694031
35.0,4.1,3,10:03:57.723892
34.7,4.1,3,10:03:57.753470
34.7,4.1,3,10:03:57.781860
36.0,4.0,3,10:03:57.809766
36.0,4.0,3,10:03:57.837288
36.0,4.0,3,10:03:57.864857
34.7,4.1,3,10:03:57.892842
34.7,4.1,3,10:03:57.920457
34.8,4.2,3,10:03:57.947731
34.8,4.2,3,10:03:57.976260
35.7,4.0,4,10:03:58.003358
35.7,4.0,4,10:03:58.031250
35.7,4.0,4,10:03:58.062248
34.7,4.0,4,10:03:58.094359
34.7,4.0,4,10:03:58.124579
34.6,4.2,4,10:03:58.155640
34.6,4.2,4,10:03:58.183344
35.8,4.2,4,10:03:58.211555
35.8,4.2,4,10:03:58.239065
34.9,4.3,4,10:03:58.267501
34.9,4.3,4,10:03:58.294669
34.9,4.3,4,10:03:58.323154
34.8,4.4,3,10:03:58.353161
34.8,4.4,3,10:03:58.381905
35.9,4.3,3,10:03:58.410621
35.9,4.3,3,10:03:58.437997
35.5,4.3,3,10:03:58.466725
35.5,4.3,3,10:03:58.494588
35.5,4.3,3,10:03:58.521396
35.2,4.3,3,10:03:58.550877
35.2,4.3,3,10:03:58.580669
36.3,4.3,3,10:03:58.611779
36.3,4.3,3,10:03:58.641288
35.7,4.3,3,10:03:58.668636
35.7,4.3,3,10:03:58.695271
35.7,4.3,3,10:03:58.723477
35.6,4.4,3,10:03:58.751251
35.6,4.4,3,10:03:58.778784
36.8,4.4,3,10:03:58.806604
36.8,4.4,3,10:03:58.833189
36.5,4.4,3,10:03:58.863966
36.5,4.4,3,10:03:58.894504
36.5,4.5,3,10:03:58.925809
36.5,4.5,3,10:03:58.954916
36.5,4.5,3,10:03:58.982449
37.8,4.4,3,10:03:59.011327
37.8,4.4,3,10:03:59.038969
37.2,4.3,3,10:03:59.069208
37.2,4.3,3,10:03:59.099534
37.1,4.6,3,10:03:59.129881
37.1,4.6,3,10:03:59.158765
37.1,4.6,3,10:03:59.186524
38.5,4.5,3,10:03:59.214277
38.5,4.5,3,10:03:59.242058
38.4,4.4,3,10:03:59.269694
38.4,4.4,3,10:03:59.297344
38.0,4.7,3,10:03:59.326187
38.0,4.7,3,10:03:59.353450
38.0,4.7,3,10:03:59.380898
38.9,4.6,3,10:03:59.409208
38.9,4.6,3,10:03:59.436386
39.7,4.5,3,10:03:59.466223
39.7,4.5,3,10:03:59.496776
39.5,4.8,3,10:03:59.527310
39.5,4.8,3,10:03:59.556824
40.1,4.8,3,10:03:59.584029
40.1,4.7,3,10:03:59.611424
40.1,4.7,3,10:03:59.638683
40.7,4.6,3,10:03:59.670945
40.7,4.6,3,10:03:59.700663
40.6,4.7,3,10:03:59.731174
40.6,4.7,3,10:03:59.760094
41.0,4.8,3,10:03:59.787958
41.0,4.8,3,10:03:59.815143
41.0,4.8,3,10:03:59.842784
41.3,4.6,3,10:03:59.874704
41.3,4.6,3,10:03:59.904405
40.9,4.8,3,10:03:59.936523
40.9,4.8,3,10:03:59.964814
40.3,4.8,3,10:03:59.991127
40.3,4.8,3,10:04:00.019057
39.8,4.8,3,10:04:00.047234
39.8,4.8,3,10:04:00.074869
39.8,4.8,3,10:04:00.102440
35.7,4.8,3,10:04:00.130790
35.7,4.8,3,10:04:00.158436
33.0,4.9,3,10:04:00.186397
33.0,4.9,3,10:04:00.214075
33.0,4.9,3,10:04:00.242005
29.7,4.8,3,10:04:00.272827
29.7,4.8,3,10:04:00.303326
25.2,4.8,3,10:04:00.335301
25.2,4.8,3,10:04:00.365712
21.6,5.0,3,10:04:00.394582
21.6,5.0,3,10:04:00.421908
18.9,4.9,3,10:04:00.449581
18.9,4.9,3,10:04:00.477138
18.9,4.9,3,10:04:00.504821
16.3,4.9,4,10:04:00.534525
16.3,4.9,4,10:04:00.561511
14.4,5.0,4,10:04:00.589790
14.4,5.0,4,10:04:00.617382
13.2,4.8,4,10:04:00.646186
13.2,4.8,4,10:04:00.673774
13.2,4.8,4,10:04:00.701195
12.9,4.6,4,10:04:00.730449
12.9,4.6,4,10:04:00.757426
