ir1,ir2,degree,time
13.2,2.2,4,10:36:46.121316
13.2,2.2,4,10:36:46.151452
14.2,2.4,4,10:36:46.181635
14.2,2.4,4,10:36:46.208744
16.3,2.9,4,10:36:46.236978
16.3,2.9,4,10:36:46.264956
17.6,3.5,3,10:36:46.295665
17.6,3.5,3,10:36:46.325220
18.8,4.6,2,10:36:46.357938
18.8,4.6,2,10:36:46.386156
18.8,4.6,2,10:36:46.414483
21.2,5.6,2,10:36:46.441082
21.2,5.6,2,10:36:46.469840
25.1,5.7,1,10:36:46.504355
25.1,5.7,1,10:36:46.534221
29.8,5.1,1,10:36:46.564477
29.8,5.1,1,10:36:46.592323
34.5,4.5,1,10:36:46.620156
34.5,4.5,1,10:36:46.646952
34.5,4.5,1,10:36:46.673906
38.1,3.7,1,10:36:46.704785
38.1,3.7,1,10:36:46.734262
42.2,3.0,1,10:36:46.764238
42.2,3.0,1,10:36:46.791819
46.1,2.9,1,10:36:46.819274
46.1,2.9,1,10:36:46.846240
46.1,2.9,1,10:36:46.873564
48.8,2.5,1,10:36:46.902106
48.8,2.5,1,10:36:46.928979
50.8,2.5,1,10:36:46.955879
50.8,2.5,1,10:36:46.982236
51.4,2.7,1,10:36:47.009940
51.4,2.7,1,10:36:47.036481
51.4,2.7,1,10:36:47.063953
49.7,2.6,1,10:36:47.091216
49.7,2.6,1,10:36:47.119655
47.6,2.6,1,10:36:47.147864
47.6,2.6,1,10:36:47.175142
47.6,2.6,2,10:36:47.202282
43.4,2.8,2,10:36:47.231276
43.4,2.8,2,10:36:47.259277
38.7,2.6,2,10:36:47.286443
38.7,2.6,2,10:36:47.316019
34.3,2.6,3,10:36:47.347436
34.3,2.6,3,10:36:47.376872
34.3,2.8,3,10:36:47.405793
30.6,2.8,3,10:36:47.432895
30.6,2.8,3,10:36:47.459617
28.6,2.7,3,10:36:47.488806
28.6,2.7,3,10:36:47.516185
27.3,2.6,3,10:36:47.543681
27.3,2.6,3,10:36:47.571641
27.3,2.9,3,10:36:47.604168
26.8,2.9,3,10:36:47.633594
26.8,2.9,3,10:36:47.662857
26.5,2.8,3,10:36:47.694399
26.5,2.8,3,10:36:47.723673
25.7,2.6,3,10:36:47.754132
25.7,2.6,3,10:36:47.783636
25.4,2.7,4,10:36:47.811038
25.4,2.7,4,10:36:47.838200
25.4,2.8,4,10:36:47.867477
25.2,2.8,4,10:36:47.893639
25.2,2.8,4,10:36:47.921873
25.2,2.7,4,10:36:47.949165
25.2,2.7,4,10:36:47.976182
25.6,2.8,4,10:36:48.005004
25.6,2.8,4,10:36:48.031769
25.6,2.8,4,10:36:48.058531
26.8,3.0,4,10:36:48.085384
26.8,3.0,4,10:36:48.114699
27.6,2.9,4,10:36:48.141798
27.6,2.9,4,10:36:48.169346
28.2,3.0,4,10:36:48.201584
28.2,3.0,4,10:36:48.235143
29.3,3.2,4,10:36:48.268780
29.3,3.2,4,10:36:48.295998
29.3,3.2,4,10:36:48.322953
29.8,3.1,4,10:36:48.351411
29.8,3.1,4,10:36:48.378096
29.8,3.1,3,10:36:48.405254
29.8,3.1,3,10:36:48.432076
29.8,3.1,3,10:36:48.459134
30.7,3.3,3,10:36:48.488044
30.7,3.3,3,10:36:48.515455
30.7,3.1,3,10:36:48.542558
30.7,3.1,3,10:36:48.569442
30.2,3.1,3,10:36:48.599644
30.2,3.1,3,10:36:48.629314
30.3,3.3,3,10:36:48.661368
30.3,3.3,3,10:36:48.690554
30.3,3.3,3,10:36:48.717166
30.6,3.1,3,10:36:48.745153
30.6,3.1,3,10:36:48.772200
30.8,3.1,3,10:36:48.801665
30.8,3.1,3,10:36:48.831447
30.7,3.3,3,10:36:48.862696
30.7,3.3,3,10:36:48.891648
30.7,3.3,3,10:36:48.918966
30.7,3.2,3,10:36:48.946453
30.7,3.2,3,10:36:48.973492
30.7,3.2,3,10:36:49.003852
30.7,3.2,3,10:36:49.033742
30.7,3.3,3,10:36:49.064700
30.7,3.3,3,10:36:49.093633
30.7,3.3,3,10:36:49.121215
31.1,3.3,3,10:36:49.148285
31.1,3.3,3,10:36:49.175633
30.9,3.2,3,10:36:49.202927
30.9,3.2,3,10:36:49.229946
30.9,3.3,3,10:36:49.258349
30.9,3.3,3,10:36:49.285274
30.9,3.3,3,10:36:49.312080
31.4,3.4,3,10:36:49.339996
31.4,3.4,3,10:36:49.367077
31.2,3.2,3,10:36:49.394108
31.2,3.2,3,10:36:49.420867
31.2,3.2,3,10:36:49.447333
31.0,3.2,3,10:36:49.475461
31.0,3.2,3,10:36:49.505559
31.5,3.4,3,10:36:49.536185
31.5,3.4,3,10:36:49.567183
31.3,3.2,3,10:36:49.596514
31.3,3.2,3,10:36:49.623156
31.0,3.2,3,10:36:49.651305
31.0,3.2,3,10:36:49.678048
31.0,3.2,3,10:36:49.707133
31.9,3.4,3,10:36:49.738598
31.9,3.4,3,10:36:49.768750
31.8,3.3,3,10:36:49.796983
31.8,3.3,3,10:36:49.823397
31.3,3.3,3,10:36:49.851511
31.3,3.3,3,10:36:49.878032
31.3,3.3,3,10:36:49.907413
32.0,3.5,3,10:36:49.939312
32.0,3.5,3,10:36:49.968509
31.8,3.4,3,10:36:49.998387
31.8,3.4,3,10:36:50.025199
