ir1,ir2,degree,time
6.4,2.3,4,09:36:19.955940
6.1,2.0,4,09:36:19.987930
6.1,2.0,4,09:36:20.018146
5.7,2.1,4,09:36:20.048387
5.7,2.1,4,09:36:20.077237
5.5,2.2,4,09:36:20.105979
5.5,2.2,4,09:36:20.133011
5.5,2.2,4,09:36:20.160483
5.5,2.1,4,09:36:20.188176
5.5,2.1,4,09:36:20.215614
5.3,2.1,4,09:36:20.243637
5.3,2.1,4,09:36:20.270830
5.4,2.4,4,09:36:20.298809
5.4,2.4,4,09:36:20.325908
5.4,2.4,4,09:36:20.353658
5.6,2.2,4,09:36:20.384992
5.6,2.2,4,09:36:20.415859
5.9,2.2,4,09:36:20.447077
5.9,2.2,4,09:36:20.476896
6.3,2.4,3,09:36:20.505558
6.3,2.4,3,09:36:20.532764
7.3,2.4,3,09:36:20.560797
7.3,2.3,3,09:36:20.590293
8.5,2.3,3,09:36:20.621359
8.5,2.2,3,09:36:20.651416
8.5,2.2,3,09:36:20.681137
11.1,2.4,3,09:36:20.708763
11.1,2.4,3,09:36:20.736162
13.9,2.4,3,09:36:20.763735
13.9,2.3,3,09:36:20.791565
17.2,2.3,3,09:36:20.819489
17.2,2.2,3,09:36:20.846988
17.2,2.2,3,09:36:20.874272
20.7,2.4,3,09:36:20.902966
20.7,2.4,3,09:36:20.931063
24.9,2.4,3,09:36:20.958790
24.9,2.4,3,09:36:20.989197
28.0,2.4,3,09:36:21.020297
28.0,2.3,3,09:36:21.050535
28.0,2.3,3,09:36:21.079854
30.0,2.4,3,09:36:21.108715
30.0,2.4,3,09:36:21.136170
32.7,2.4,2,09:36:21.163291
32.7,2.4,2,09:36:21.193688
33.6,2.3,2,09:36:21.224806
33.6,2.3,2,09:36:21.255230
34.5,2.3,2,09:36:21.285393
34.5,2.4,2,09:36:21.316457
34.5,2.4,2,09:36:21.346959
36.6,2.4,2,09:36:21.377639
36.6,2.4,2,09:36:21.405518
36.7,2.4,2,09:36:21.433479
36.7,2.4,2,09:36:21.460602
35.7,2.4,2,09:36:21.491205
35.7,2.5,2,09:36:21.522102
35.8,2.5,2,09:36:21.552194
35.8,2.6,2,09:36:21.581875
35.6,2.6,2,09:36:21.609582
35.6,2.4,2,09:36:21.637120
35.6,2.4,2,09:36:21.664541
34.2,2.6,2,09:36:21.695846
34.2,2.6,2,09:36:21.725859
33.5,2.6,2,09:36:21.755953
33.5,2.7,2,09:36:21.785224
31.9,2.7,2,09:36:21.812845
31.9,2.5,2,09:36:21.840372
31.9,2.5,2,09:36:21.868514
31.0,2.5,2,09:36:21.898057
31.0,2.5,2,09:36:21.928908
29.1,2.7,2,09:36:21.958359
29.1,2.7,2,09:36:21.986591
27.3,2.5,2,09:36:22.014526
27.3,2.5,2,09:36:22.041182
27.3,2.5,2,09:36:22.068326
25.6,2.5,2,09:36:22.096692
25.6,2.5,2,09:36:22.125106
23.9,2.7,3,09:36:22.153469
23.9,2.7,3,09:36:22.181087
22.7,2.7,3,09:36:22.212166
