ir_L,ir_R,degree
3.4,12.5,47.85
3.0,12.8,47.54
2.7,13.3,45.23
2.6,13.9,45.29
2.7,14.4,40.33
2.7,14.9,32.54
2.7,15.2,27.31
2.8,15.3,27.31
2.6,15.3,27.24
2.7,14.9,27.33
2.7,14.0,27.28
2.6,13.0,27.25
2.6,12.5,27.22
2.6,12.2,27.28
2.6,12.0,27.23
2.7,11.3,27.31
2.7,10.8,27.37
2.5,10.2,27.37
2.4,9.9,27.36
2.5,9.3,27.44
2.4,8.6,27.43
2.4,8.0,27.38
2.4,7.7,27.41
2.3,7.4,27.39
2.3,7.2,27.38
2.5,6.9,20.61
2.5,6.5,0.53
2.2,6.0,0.06
2.1,5.3,0.06
2.2,5.5,0.16
2.3,6.0,0.06
2.3,6.0,0.03
2.3,6.5,0.14
2.2,7.2,4.98
2.4,8.2,20.07
2.5,8.6,25.38
2.4,9.5,29.51
2.5,10.0,29.58
2.6,10.6,19.9
2.6,10.9,1.72
2.8,11.9,1.4
3.0,12.4,1.54
2.9,13.3,1.45
3.1,13.7,1.49
3.4,13.7,1.67
3.5,13.1,1.51
3.3,12.0,1.41
3.3,12.0,2.13
3.3,11.9,2.62
3.1,10.3,5.99
3.3,9.4,18.1
3.1,7.9,29.14
2.8,7.5,35.11
2.8,7.5,35.0
3.0,7.4,34.98
3.0,7.6,0.24
3.1,7.4,0.07
2.9,6.4,0.05
2.7,5.9,0.09
2.7,5.6,0.03
2.5,5.6,0.03
2.1,5.1,0.07
1.8,4.6,0.23
1.9,5.1,0.09
1.8,5.3,0.05
2.0,5.5,0.04
2.1,6.2,0.1
1.8,10.4,0.07
1.9,12.7,0.07
2.2,14.6,0.03
2.2,15.3,0.02
1.9,15.9,0.1
1.9,16.0,0.03
2.1,15.7,0.07
2.1,14.9,0.04
2.5,14.0,0.06
2.7,13.1,0.03
2.4,12.1,0.13
3.0,10.5,0.04
4.0,9.2,3.41
5.0,7.7,31.98
5.8,7.0,42.88
5.9,6.9,50.53
5.7,7.2,50.67
5.5,7.3,50.57
5.4,7.2,50.57
5.0,7.4,49.72
4.6,7.7,42.05
4.5,7.8,40.82
4.4,8.0,40.81
4.3,8.2,40.84
4.0,8.1,40.87
3.5,8.4,40.88
3.2,8.7,36.58
3.0,8.6,26.63
3.1,8.6,26.04
3.1,8.4,25.99
2.9,8.0,26.0
2.8,7.9,26.08
2.9,7.7,26.02
2.8,7.4,26.01
2.7,7.0,26.02
2.7,6.9,26.07
2.7,6.7,26.02
2.5,6.4,26.1
2.6,6.2,26.12
2.6,6.0,30.86
2.4,5.6,42.8
2.4,5.8,48.28
2.5,5.9,49.22
2.4,5.6,49.24
2.3,5.7,49.16
2.3,6.0,49.14
2.3,6.3,49.13
2.3,6.2,49.2
2.5,6.2,53.53
2.4,6.4,53.37
2.2,6.6,52.59
2.3,6.8,52.61
2.4,6.9,52.61
2.4,7.0,52.69
2.5,7.2,52.63
2.5,7.6,50.36
2.6,7.8,48.59
2.8,8.2,45.53
2.9,8.3,31.5
2.8,8.4,0.11
2.8,8.1,0.04
2.7,6.8,0.06
2.4,6.0,0.03
2.5,5.0,0.1
2.3,4.9,0.08
2.2,5.2,9.79
2.2,5.5,10.61
2.3,5.5,10.62
2.3,6.1,10.49
2.2,6.6,10.52
2.3,7.4,10.49
2.3,8.2,10.44
2.5,9.1,10.64
2.6,9.1,10.46
2.6,9.9,10.57
2.7,10.6,10.43
2.9,11.4,10.48
3.1,11.7,10.44
3.3,12.1,10.6
3.5,11.6,10.42
3.5,12.5,7.04
3.7,13.7,3.07
3.8,13.5,0.1
3.7,12.7,0.04
3.5,11.0,0.1
3.4,10.1,0.16
3.3,8.8,0.76
3.1,8.0,12.98
3.1,7.1,21.98
3.0,6.2,35.03
2.8,6.0,43.66
2.9,6.1,44.95
3.1,6.2,36.22
3.2,6.4,6.85
3.1,6.3,0.19
3.1,5.9,0.09
2.9,5.9,0.03
2.9,5.2,0.11
2.7,4.8,0.03
2.3,5.6,0.07
2.0,6.1,0.3
2.0,6.0,0.03
2.0,6.8,0.09
2.0,12.6,0.03
2.2,17.4,0.07
2.2,20.9,0.14
2.3,22.4,0.03
2.4,23.4,0.11
2.4,22.4,0.18
2.3,22.0,0.03
2.4,20.5,0.12
2.7,18.9,2.1
3.4,16.1,2.22
4.2,13.9,10.62
5.6,11.7,15.48
6.3,10.8,21.89
7.5,10.1,21.94
8.3,9.3,21.85
9.0,8.6,21.86
10.4,8.1,21.83
11.9,7.2,21.82
14.3,6.8,21.84
15.9,6.2,38.13
18.0,5.8,58.15
17.8,5.8,74.29
16.7,6.1,79.61
15.5,6.6,82.09
13.7,6.8,82.08
11.7,7.9,82.08
9.0,8.7,82.07
7.6,10.1,82.07
5.1,11.4,76.72
3.8,12.4,53.77
3.0,14.3,50.15
2.8,14.8,44.78
2.7,15.4,44.31
2.7,16.0,44.29
2.7,17.0,45.83
2.8,17.6,43.82
2.6,18.4,30.93
2.6,19.0,24.75
2.7,18.2,17.59
2.7,16.7,17.43
2.7,14.4,25.35
2.7,13.7,30.28
2.6,13.3,41.34
2.6,13.2,43.63
2.7,13.8,43.73
2.7,14.0,43.64
2.6,14.7,43.71
2.6,15.3,43.64
2.7,16.2,43.49
2.7,16.4,43.11
2.8,17.4,37.59
2.9,18.6,24.21
2.8,19.0,11.75
2.7,16.9,7.29
2.8,14.9,0.1
2.7,12.0,0.17
2.4,9.8,0.04
2.3,7.6,0.12
2.2,6.2,0.15
2.3,5.2,19.74
2.3,5.4,28.59
2.2,5.8,28.67
2.2,6.0,28.64
2.3,6.2,28.59
2.3,6.1,28.38
2.2,6.3,25.22
2.2,6.6,6.62
2.3,7.2,5.83
2.3,7.9,5.8
2.4,8.9,5.89
2.6,9.6,5.93
2.4,10.8,14.53
2.6,11.6,25.3
2.9,12.2,25.69
3.0,12.9,25.67
2.9,13.4,25.66
3.0,14.1,25.61
3.1,14.7,24.6
