ir_L,ir_R,degree
3.2,3.8,17.77
3.4,4.2,17.74
3.6,4.3,17.84
3.8,4.1,17.8
4.0,3.9,17.8
4.4,4.0,17.84
4.6,4.6,17.78
4.9,5.3,17.83
5.1,6.3,17.75
5.4,6.9,15.3
5.7,8.1,14.5
6.1,8.8,11.22
6.3,9.6,10.55
6.9,10.1,10.95
7.3,11.0,14.43
8.0,11.6,18.21
8.5,12.4,21.18
9.4,12.7,23.04
10.7,13.2,27.63
14.0,13.1,31.2
15.4,13.2,35.5
17.7,13.2,39.07
21.9,13.2,44.89
22.3,12.8,46.65
22.3,12.6,47.03
19.7,12.1,47.89
21.3,11.9,44.31
21.9,12.0,38.18
22.3,12.2,34.17
22.5,13.4,32.67
23.1,14.1,32.68
23.7,14.6,32.77
24.4,14.7,32.7
25.3,14.5,34.08
25.9,14.2,39.84
26.5,13.5,40.66
26.8,12.9,40.61
27.2,12.0,40.26
26.7,11.2,38.39
27.2,10.3,38.31
27.7,10.0,38.38
26.5,10.4,38.41
28.9,10.9,38.8
29.9,11.3,41.16
28.7,11.1,41.84
24.0,10.8,38.38
20.3,10.4,36.35
15.6,10.2,34.52
12.6,10.2,34.07
7.5,10.4,34.13
6.0,10.6,34.09
4.7,10.6,34.17
4.2,10.6,34.06
3.6,10.2,34.15
3.4,9.7,34.1
3.1,9.4,34.14
3.0,9.0,34.13
3.0,8.8,33.98
3.0,8.4,31.71
3.0,7.9,31.39
3.1,7.3,29.76
3.2,6.7,29.77
3.3,6.3,29.79
3.4,5.9,29.75
3.5,5.4,29.79
3.5,5.2,29.79
3.6,5.0,27.32
3.7,4.8,27.24
3.8,4.6,27.21
3.9,4.1,27.22
4.0,3.9,27.21
4.1,3.6,27.21
4.3,3.5,27.32
4.4,4.0,27.28
4.7,4.5,27.27
4.8,6.1,27.21
5.0,7.7,27.22
5.2,9.8,27.22
5.5,10.9,27.26
5.7,13.0,27.34
6.2,14.4,22.36
6.5,17.1,21.02
7.1,18.6,19.68
7.6,21.2,19.64
8.5,22.1,19.72
9.1,24.2,20.24
10.4,24.2,23.36
11.2,24.7,26.11
12.6,24.7,28.35
14.4,25.2,32.81
15.7,24.9,36.43
17.2,25.3,39.65
18.8,24.9,42.02
22.3,25.1,43.34
24.1,25.0,43.44
25.3,25.0,43.37
25.6,25.3,42.91
25.8,25.2,41.61
26.1,25.7,40.13
25.6,26.0,39.21
25.2,25.2,39.16
25.7,23.4,38.06
26.6,18.6,37.98
26.6,16.6,37.98
26.3,18.5,37.58
26.9,20.3,36.86
27.3,21.5,36.91
27.9,21.7,36.88
28.2,21.8,36.98
28.1,21.9,37.29
29.1,21.9,38.36
30.0,20.6,41.03
30.7,19.2,42.68
30.7,17.7,44.51
31.1,16.9,46.17
30.6,16.5,46.2
30.3,16.4,47.17
28.6,16.6,47.13
27.9,17.4,47.18
27.0,18.1,47.13
26.1,18.7,47.12
26.0,19.7,47.14
25.8,20.1,47.14
25.8,21.1,47.17
24.9,21.6,47.13
24.7,22.3,47.14
24.9,22.3,47.11
24.9,22.3,47.12
24.7,22.2,47.15
23.9,21.6,47.11
21.5,20.9,47.11
18.6,20.0,47.12
15.3,18.7,47.09
10.0,18.1,47.11
7.2,19.4,47.1
4.7,21.2,47.15
3.9,20.3,47.11
3.4,18.8,47.1
3.3,19.5,47.19
3.1,20.4,47.11
3.0,20.7,47.04
2.9,19.1,47.1
2.9,18.5,47.13
2.9,20.1,47.09
2.9,19.9,47.09
2.9,19.9,47.12
2.9,17.4,47.15
2.9,16.3,47.08
2.9,15.8,47.09
2.9,15.7,47.15
2.8,15.7,47.08
2.8,15.6,47.1
